game_id,avg_rgb,color_1,count_1,color_2,count_2,color_3,count_3,color_4,count_4,color_5,count_5,color_6,count_6,color_7,count_7,color_8,count_8,color_9,count_9,color_10,count_10
halo_ce,"(np.int64(13), np.int64(13), np.int64(14))",#000000,760,#000001,147,#000002,145,#010101,59,#000003,49,#010100,41,#ffffff,41,#000004,39,#000103,32,#fefefe,31
halo_2,"(np.int64(81), np.int64(81), np.int64(81))",#000000,335,#ffffff,227,#020200,58,#010100,46,#fefefe,32,#010101,26,#030304,24,#000002,24,#000001,23,#020201,22
halo_3,"(np.int64(11), np.int64(6), np.int64(5))",#000000,879,#000001,86,#80524b,59,#000002,53,#010000,44,#020000,39,#613626,33,#623626,33,#010101,30,#000003,26
halo_odst,"(np.int64(0), np.int64(0), np.int64(0))",#000000,811,#000001,64,#010000,52,#000002,44,#010101,30,#010100,30,#010001,28,#020101,28,#000003,25,#000100,24
halo_reach,"(np.int64(9), np.int64(8), np.int64(9))",#000000,525,#000001,45,#020101,42,#010000,41,#030101,36,#000002,33,#eeeeee,30,#010102,29,#030202,27,#030303,27
halo_4,"(np.int64(0), np.int64(0), np.int64(1))",#000000,622,#000002,110,#000001,71,#000004,48,#000003,47,#000105,35,#000107,28,#010104,28,#000106,27,#000104,25
halo_5,"(np.int64(0), np.int64(0), np.int64(0))",#000000,341,#000101,19,#000100,19,#000201,18,#010101,14,#000001,14,#010403,13,#01050a,13,#040000,12,#050101,10
halo_infinite,"(np.int64(29), np.int64(29), np.int64(29))",#000000,249,#0f0f0f,43,#fdfbfe,41,#101011,16,#101010,15,#0f0f10,14,#13171c,14,#13161b,13,#0a0a0b,13,#101112,12
